DateTime,AddedIPs,RemovedIPs
1597809542,68,60
1597814405,12,13
1597857606,733,723
1597879204,17,13
1597881621,1404,1784
1597890724,21,26
1597894568,21,31
1597895942,90,60
1597899365,9,18
1597950038,693,785
1597965847,19,16
1597968020,1735,1972
1597977365,21,34
1597981207,23,12
1597982342,77,47
1597987685,13,18
1598041933,718,710
1598054419,17,24
1598054420,1485,1491
1598062084,20,0
1598065925,21,19
1598068742,80,63
1598072165,15,0
1598133366,743,706
1598139367,15,13
1598150887,1079,1238
1598155142,71,44
1598160488,8,30
1598192172,792,646
1598224087,12,0
1598235603,1119,1341
1598239449,16,36
1598241543,56,48
1598244965,6,0
1598283611,693,546
1598306422,1457,2347
1598313131,15,36
1598320810,20,0
1598324649,27,17
1598327942,53,42
1598333284,12,22
1598375300,713,673
1598389218,1533,1326
1598397848,14,14
1598409366,22,32
1598413209,24,22
1598414342,88,54
1598418250,14,18
1598467710,733,673
1598472017,1500,1374
1598484011,12,0
1598495529,15,16
1598499378,21,21
1598500743,88,67
1598503216,12,0
1598558420,1325,1493
1598559634,790,690
1598572329,16,36
1598580007,16,0
1598583847,23,17
1598587142,69,75
1598591530,17,34
1598641220,1269,1028
1598651666,681,707
1598656215,12,0
1598670732,33,53
1598673543,63,61
1598678407,10,17
1598727617,1082,954
1598743688,15,33
1598744409,730,646
1598755205,31,40
1598760729,732,52
1598763126,9,17
1598773473,608,0
1598790967,687,0
1598812807,793,698
1598832293,842,1077
1598839926,20,0
1598843765,18,0
1598846342,43,48
1598851446,17,8
1598896819,1109,1613
1598905003,701,721
1598917209,14,0
1598928725,43,45
1598932742,58,48
1598936414,15,13
1598983218,1297,3844
1598997887,712,756
1599002167,13,31
1599013685,17,25
1599017527,18,35
1599019142,74,63
1599021364,13,0
1599069620,1266,1748
1599089077,587,708
1599091215,18,21
1599098887,20,43
1599102725,22,25
1599105542,57,45
1599110405,17,24
1599156018,3651,1189
1599175927,13,15
1599181453,765,728
1599187449,41,42
1599191942,59,55
1599195126,17,0
1599242417,2259,1049
1599249613,627,0
1599260889,24,0
1599271724,0,784
1599272648,14,0
1599276488,22,15
1599278342,52,50
1599280326,13,31
1599282758,705,0
1599328819,1815,975
1599349449,16,31
1599360966,24,58
1599364742,48,50
1599368650,9,15
1599374196,541,699
1599415219,2012,1314
1599434409,14,14
1599446170,13,25
1599450009,21,15
1599451142,38,47
1599453847,5,7
1599465618,605,867
1599479530,807,0
1599501619,1473,1375
1599522967,20,22
1599530646,19,0
1599534491,27,17
1599537542,46,47
1599542166,13,14
1599548170,721,719
1599575797,682,0
1599584419,1340,1364
1599607928,16,20
1599619454,22,49
1599623290,16,20
1599623942,43,50
1599627203,13,0
1599655480,763,693
1599656427,599,0
1599669421,704,0
1599670818,1451,1452
1599696251,11,22
1599704166,23,0
1599708007,19,16
1599710342,50,44
1599715687,14,29
1599753619,1108,1157
1599761357,822,698
1599780972,10,14
1599792488,37,42
1599796742,54,40
1599800165,18,0
1599802808,648,0
1599840016,1190,1108
1599865694,11,0
1599877204,14,0
1599881049,13,46
1599883142,51,40
1599888727,10,46
1599894755,823,608
1599926418,1068,947
1599954487,18,35
1599966016,31,76
1599969543,51,56
1599973929,5,0
1599985935,542,505
1600009219,797,1196
1600039690,12,0
1600051207,22,17
1600055050,17,21
1600055942,36,23
1600058886,3,13
1600077642,676,649
1600092018,1111,1073
1600128250,14,34
1600135926,11,0
1600140008,14,17
1600142343,59,62
1600147688,10,20
1600168811,546,686
1600178418,1260,1219
1600213208,14,0
1600224967,28,31
1600228742,91,32
1600232652,8,0
1600260967,680,662
1600261218,1165,1362
1600297933,20,16
1600309446,13,17
1600313528,18,23
1600315142,85,33
1600317369,14,22
1600344020,1182,1259
1600352201,639,1454
1600386730,15,43
1600394652,20,41
1600398491,19,42
1600401542,86,44
1600406166,15,7
1600426819,1157,975
1600442889,731,716
1600471929,21,12
1600483447,31,27
1600487286,28,20
1600487943,84,55
1600491125,11,10
1600513217,1262,808
1600534350,696,717
1600556890,24,0
1600568405,28,0
1600572255,27,0
1600574342,83,47
1600579927,6,34
1600599618,1278,1170
1600625834,697,662
1600645686,24,16
1600656977,55,66
1600660743,80,38
1600664650,25,10
1600686019,1103,1169
1600717689,746,698
1600730651,22,15
1600742406,23,0
1600746248,23,39
1600747142,92,73
1600750329,14,0
1600772419,1338,1130
1600808446,705,1490
1600819448,28,34
1600827125,33,18
1600830965,27,0
1600833542,88,63
1600838646,13,11
1600858819,1165,1292
1600899612,797,667
1600903928,25,0
1600915452,30,51
1600919289,23,36
1600919942,71,51
1600923128,13,0
1600945217,1177,1097
1600989127,29,29
1600991315,705,693
1601000646,28,0
1601004487,29,0
1601006342,80,60
1601012165,7,22
1601031620,1122,1030
1601077687,28,27
1601082491,691,694
1601089211,58,71
1601092742,93,43
1601096887,12,23
1601118018,1045,862
1601165045,28,27
1601173689,499,497
1601174197,255,264
1601174713,33,15
1601178487,26,42
1601179142,73,58
1601182327,14,0
1601204419,897,1013
1601265618,500,467
1601266114,317,213
1601287217,1079,1422
1601293717,386,0
1601299208,500,0
1601307131,71,46
1601309287,23,11
1601336165,26,10
1601346005,36,0
1601349854,31,13
1601351942,68,40
1601357523,19,17
1601373617,1262,1260
1601386085,285,679
1601391127,499,1992
1601420891,31,0
1601434806,53,32
1601438342,102,38
1601442968,10,0
1601460019,1268,1272
1601477527,286,302
1601482361,500,500
1601507765,29,15
1601520004,31,0
1601524571,24,32
1601524748,91,63
1601528412,7,20
1601546416,1253,1119
1601568519,302,201
1601575455,500,498
1601596817,26,29
1601605444,23,19
1601609285,23,0
1601611142,84,53
1601616963,4,25
1601632818,1357,1146
1601634038,500,495
1601637126,237,219
1601682255,24,0
1601694253,50,44
1601697542,82,53
1601701924,32,0
1601719218,1316,1135
1601725927,500,157
1601728327,213,429
1601766966,26,16
1601778967,24,0
1601782809,22,37
1601783942,77,47
1601790484,30,29
1601805619,985,1110
1601817157,500,498
1601820040,349,280
1601855285,27,30
1601863454,32,20
1601867289,31,0
1601870342,76,27
1601874967,31,12
1601888417,980,1150
1601908328,499,503
1601911217,236,819
1601940251,21,0
1601952247,31,14
1601956090,23,31
1601956742,95,29
1601959925,26,0
1601999767,500,41
1602002413,408,500
1602018017,1987,1809
1602028816,27,31
1602036726,26,17
1602040566,25,0
1602043142,75,42
1602048246,11,19
1602091711,500,634
1602093874,208,762
1602100818,1129,1103
1602113768,26,0
1602125285,29,22
1602129127,25,47
1602129542,68,41
1602132965,5,0
1602182885,500,893
1602184805,228,457
1602198491,1211,964
1602210006,31,0
1602213851,25,0
1602215942,64,45
1602221525,10,33
1602266418,1362,906
1602274330,499,1073
1602276728,256,923
1602287049,26,13
1602298566,28,39
1602302417,19,31
1602306246,72,45
1602352819,1286,797
1602365081,500,485
1602367958,248,332
1602371529,21,13
1602383051,20,0
1602386885,26,25
1602388742,77,39
1602394565,3,34
1602435618,1141,1043
1602455792,499,278
1602458887,334,373
1602460324,21,20
1602469926,29,27
1602473766,26,14
1602475143,59,31
1602481204,19,6
1602518419,1511,1093
1602545048,22,0
1602547215,500,499
1602549612,382,356
1602554655,30,0
1602558492,17,12
1602561542,67,42
1602565688,12,0
1602574840,500,0
1602577451,344,0
1602601217,1575,1114
1602633363,15,23
1602642964,21,17
1602646808,24,0
1602647942,90,43
1602654249,15,7
1602665077,499,78
1602668408,299,465
1602684019,1525,1112
1602717848,21,0
1602728168,28,36
1602732106,22,37
1602734342,132,45
1602739203,8,0
1602756323,500,396
1602759852,294,269
1602766820,1615,1250
1602806420,17,26
1602816485,23,0
1602820329,24,16
1602820742,108,54
1602824164,14,9
1602848168,500,47
1602850841,292,498
1602853220,1606,1353
1602891130,13,20
1602901206,22,15
1602905051,22,0
1602907142,86,36
1602912725,2,26
1602939130,500,372
1602939620,1314,1044
1602941532,303,286
1602975849,22,0
1602989765,22,34
1602993607,24,37
1602997447,98,41
1603022419,1261,1316
1603031565,500,360
1603032730,320,262
1603064169,28,46
1603074250,35,0
1603078084,23,0
1603079942,83,49
1603085769,8,14
1603105217,1490,1270
1603122998,500,408
1603124170,327,305
1603148890,27,30
1603162807,27,64
1603166647,27,64
1603170489,126,60
1603191618,1554,1189
1603213955,498,440
1603215610,392,233
1603237687,21,29
1603247529,29,0
1603251370,22,23
1603252742,121,59
1603259052,12,41
1603278021,1804,1656
1603304908,500,448
1603306333,318,240
1603322649,11,0
1603332249,18,31
1603336090,17,0
1603339142,137,54
1603343765,14,13
1603364421,1868,1277
1603396592,499,495
1603398036,344,249
1603411211,23,32
1603420806,26,63
1603424647,28,55
1603425542,132,48
1603428499,15,0
1603450818,1564,4791
1603486844,500,493
1603489447,330,226
1603496167,24,58
1603506006,27,0
1603509848,25,0
1603511942,116,44
1603517525,11,22
1603537217,1406,1689
1603577766,500,449
1603580500,339,328
1603580900,23,0
1603594325,30,59
1603598165,24,58
1603598343,95,49
1603602012,10,0
1603623618,1086,1006
1603669239,500,306
1603669451,23,22
1603671610,286,392
1603679050,30,0
1603682886,25,30
1603684742,95,49
1603690568,6,20
1603710018,1213,1184
1603753928,22,23
1603759930,500,350
1603762358,251,342
1603767617,28,58
1603771451,23,34
1603775288,101,72
1603796417,1559,1209
