DateTime,AddedIPs,RemovedIPs
1602727693,100,114
1602734891,106,106
1602742113,94,86
1602749316,91,75
1602756766,95,99
1602763961,98,84
1602771176,93,102
1602778362,109,95
1602786278,120,159
1602793717,155,97
1602800917,78,137
1602808366,101,94
1602815570,105,140
1602822758,111,87
1602829959,89,109
1602837161,125,65
1602844406,77,59
1602852307,89,89
1602859476,76,140
1602866676,130,108
1602873879,129,68
1602881094,74,91
1602888994,84,89
1602896194,89,119
1602903393,112,98
1602910593,95,115
1602917794,62,89
1602925718,106,73
1602932923,78,128
1602940119,152,96
1602947079,106,86
1602954279,76,139
1602961477,91,83
1602969395,94,85
1602976592,66,96
1602983116,100,86
1602990992,86,147
1602998191,105,105
1603005397,124,52
1603012604,66,164
1603020517,184,67
1603027719,63,53
1603035155,85,93
1603042355,91,74
1603049556,82,74
1603056756,69,127
1603064675,93,99
1603071414,103,83
1603078597,89,147
1603086274,107,99
1603093477,91,107
1603100679,108,79
1603107891,81,100
1603115828,109,95
1603122996,101,60
1603130196,90,97
1603137398,134,79
1603144626,75,95
1603151795,130,104
1603159027,102,109
1603166199,117,95
1603173883,90,96
1603181080,91,84
1603188516,91,90
1603195954,93,66
1603203159,80,88
1603210375,75,82
1603217554,135,105
1603224756,111,72
1603232680,80,107
1603239880,74,112
1603247081,114,133
1603254278,126,85
1603261714,94,85
1603269158,96,91
1603276363,94,129
1603283573,126,73
1603291492,85,113
1603298679,117,82
1603305876,97,98
1603313085,86,74
1603320279,59,101
1603328193,94,126
1603335393,128,176
1603342598,150,94
1603349794,91,90
1603356995,93,86
1603364921,86,94
1603371428,85,79
1603379315,103,107
1603386516,99,92
1603393715,116,96
1603400912,112,81
1603408116,76,106
1603416033,102,110
1603422765,103,107
1603429969,81,92
1603437875,97,89
1603445081,103,104
1603452277,103,90
1603459477,76,146
1603467401,164,81
1603474834,95,114
1603482276,98,262
1603489967,241,86
1603496433,72,89
1603503661,78,94
1603511571,115,258
1603518754,240,108
1603525955,93,66
1603533878,69,91
1603540596,117,69
1603547793,89,104
1603555717,102,109
1603562914,122,88
1603570359,83,82
1603577553,75,96
1603584992,70,105
1603592193,103,124
1603599393,120,118
1603606592,101,79
1603613797,85,81
1603620991,102,70
1603628192,84,81
1603635408,53,133
1603643313,145,71
1603650512,102,74
1603657712,81,108
1603664915,112,105
1603672170,71,93
1603680032,104,88
1603687239,94,143
1603694439,119,92
1603701633,102,77
1603708835,88,70
